a,b,c,d
8800 -ÿCabanas de Tavira,1,8,"8,"
Vila do Bispoÿmunicipality[edit],0,9,"9,"
8650 -ÿBarÆo de SÆo Miguel,1,0,"0,"
8650 -ÿBudens,1,1,"1,"
8650 -ÿRaposeira,1,2,"2,"
8650 -ÿSagres,1,3,"3,"
8650 -ÿVila do Bispo,1,4,"4,"
Vila Real de Santo Ant¢nioÿmunicipality[edit],0,5,"5,"
8900 -ÿVila Nova de Cacela,1,0,"0,"
8900 -ÿVila Real de Santo Ant¢nio,1,1,"1,"
8900 -ÿMonte Gordo,1,2,"2,"
,0,3,"3,"
Guarda District[edit],0,0,"0,"
Aguiar da Beiraÿmunicipality[edit],0,0,"0,"
3570 -ÿAguiar da Beira,1,0,"0,"
3570 -ÿCarapito,1,1,"1,"
3570 -ÿCorti‡ada,1,2,"2,"
3570 -ÿCoruche,1,3,"3,"
3570 -ÿDornelas,1,4,"4,"
3570 -ÿEirado,1,5,"5,"
3570 -ÿForninhos,1,6,"6,"
3570 -ÿGradiz,1,7,"7,"
3570 -ÿPena Verde,1,8,"8,"
3570 -ÿPinheiro,1,9,"9,"
3570 -ÿSequeiros,1,10,"10,"
3570 -ÿSouto de Aguiar da Beira,1,11,"11,"
3570 -ÿValverde,1,12,"12,"
Almeida Municipality[edit],0,13,"13,"
6355 -ÿAde,1,0,"0,"
6350 -ÿAldeia Nova,1,1,"1,"
6350 -ÿAlmeida,1,2,"2,"
6355 -ÿAmoreira,1,3,"3,"
6350 -ÿAzinhal,1,4,"4,"
6355 -ÿCabreira,1,5,"5,"
6355 -ÿCastelo Bom,1,6,"6,"
6355 -ÿCastelo Mendo,1,7,"7,"
6355 -ÿFreineda,1,8,"8,"
6355 -ÿFreixo,1,9,"9,"
6350 -ÿJun‡a,1,10,"10,"
6350 -ÿLeomil,1,11,"11,"
6355 -ÿMalhada Sorda,1,12,"12,"
6350 -ÿMalpartida,1,13,"13,"
6355 -ÿMesquitela,1,14,"14,"
6355 -ÿMido,1,15,"15,"
6355 -ÿMiuzela,1,16,"16,"
6355 -ÿMonte Perobol‡o,1,17,"17,"
6355 -ÿNave de Haver,1,18,"18,"
6350 -ÿNaves,1,19,"19,"
6355 -ÿParada,1,20,"20,"
6350 -ÿPeva,1,21,"21,"
6355 -ÿPorto de Ovelha,1,22,"22,"
6355 -ÿSÆo Pedro de Rio Seco,1,23,"23,"
6355 -ÿSenouras,1,24,"24,"
6350 -ÿVale de Coelha,1,25,"25,"
6350 -ÿVale da Mula,1,26,"26,"
6350 -ÿVale Verde,1,27,"27,"
6355 -ÿVilar Formoso,1,28,"28,"
Celorico da Beiraÿmunicipality[edit],0,29,"29,"
6360 -ÿA‡ores,1,0,"0,"
6360 -ÿBara‡al,1,1,"1,"
6360 -ÿCadafaz,1,2,"2,"
6360 -ÿCarrapichana,1,3,"3,"
6360 -ÿCorti‡“ da Serra,1,4,"4,"
6360 -ÿForno Telheiro,1,5,"5,"
6360 -ÿLajeosa do Mondego,1,6,"6,"
6360 -ÿLinhares,1,7,"7,"
6360 -ÿMa‡al do ChÆo,1,8,"8,"
6360 -ÿMesquitela,1,9,"9,"
6360 -ÿMinhocal,1,10,"10,"
6360 -ÿPrados,1,11,"11,"
6360 -ÿRapa,1,12,"12,"
6360 -ÿRatoeira,1,13,"13,"
6360 -ÿSalgueirais,1,14,"14,"
6360 -ÿSanta Maria,1,15,"15,"
6360 -ÿSÆo Pedro,1,16,"16,"
6360 -ÿVale de Azares,1,17,"17,"
6360 -ÿVelosa,1,18,"18,"
6360 -ÿVide Entre Vinhas,1,19,"19,"
6360 -ÿVila Boa do Mondego,1,20,"20,"
6360 -ÿCasas do Soeiro,1,21,"21,"
Figueira de Castelo Rodrigoÿmunicipality[edit],0,22,"22,"
6440 -ÿAlgodres,1,0,"0,"
6440 -ÿAlmofala,1,1,"1,"
6440 -ÿCastelo Rodrigo,1,2,"2,"
6440 -ÿCinco Vilas,1,3,"3,"
6440 -ÿColmeal,1,4,"4,"
6440 -ÿEscalhÆo,1,5,"5,"
6440 -ÿEscarigo,1,6,"6,"
6440 -ÿFigueira de Castelo Rodrigo,1,7,"7,"
6440 -ÿFreixeda do TorrÆo,1,8,"8,"
6440 -ÿMata de Lobos,1,9,"9,"
6440 -ÿPenha de µguia,1,10,"10,"
6440 -ÿQuintÆ de Pˆro Martins,1,11,"11,"
6440 -ÿReigada,1,12,"12,"
6440 -ÿVale de Afonsinho,1,13,"13,"
6440 -ÿVermiosa,1,14,"14,"
6440 -ÿVilar de Amargo,1,15,"15,"
6440 -ÿVilar Torpim,1,16,"16,"
Fornos de Algodresÿmunicipality[edit],0,17,"17,"
6370 -ÿAlgodres,1,0,"0,"
6370 -ÿCasal Vasco,1,1,"1,"
6370 -ÿCorti‡“,1,2,"2,"
6370 -ÿFigueir¢ da Granja,1,3,"3,"
6370 -ÿFornos de Algodres,1,4,"4,"
6370 -ÿFuinhas,1,5,"5,"
6370 -ÿInfias,1,6,"6,"
6370 -ÿJuncais,1,7,"7,"
6370 -ÿMaceira,1,8,"8,"
6370 -ÿMatan‡a,1,9,"9,"
6370 -ÿMuxagata,1,10,"10,"
6370 -ÿQueiriz,1,11,"11,"
6370 -ÿSobral Pichorro,1,12,"12,"
6370 -ÿVila ChÆ,1,13,"13,"
6370 -ÿVila Ruiva,1,14,"14,"
6370 -ÿVila Soeiro do ChÆo,1,15,"15,"
Gouveiaÿmunicipality[edit],0,16,"16,"
6290 -ÿAldeias,1,0,"0,"
6290 -ÿArcozelo,1,1,"1,"
6290 -ÿCativelos,1,2,"2,"
6290 -ÿFigueir¢ da Serra,1,3,"3,"
6290 -ÿFolgosinho,1,4,"4,"
6290 -ÿFreixo da Serra,1,5,"5,"
6290 -ÿLagarinhos,1,6,"6,"
6290 -ÿMangualde da Serra,1,7,"7,"
6290 -ÿMelo,1,8,"8,"
6290 -ÿMoimenta da Serra,1,9,"9,"
6290 -ÿNabais,1,10,"10,"
6290 -ÿNespereira,1,11,"11,"
6290 -ÿPa‡os da Serra,1,12,"12,"
6290 -ÿRibamondego,1,13,"13,"
6290 -ÿRio Torto,1,14,"14,"
6290 -ÿSÆo JuliÆo,1,15,"15,"
6290 -ÿSÆo Paio,1,16,"16,"
6290 -ÿSÆo Pedro,1,17,"17,"
6290 -ÿVila Cortes da Serra,1,18,"18,"
6290 -ÿVila Franca da Serra,1,19,"19,"
6290 -ÿVila Nova de Tazem,1,20,"20,"
6290 -ÿVinh¢,1,21,"21,"
Guarda Municipality[edit],0,22,"22,"
6300 - AdÆo,1,0,"0,"
6300 -ÿAlbardo,1,1,"1,"
6300 -ÿAldeia do Bispo,1,2,"2,"
6300 -ÿAldeia Vi‡osa,1,3,"3,"
6300 -ÿAlvendre,1,4,"4,"
6300 -ÿArrifana,1,5,"5,"
6300 -ÿAvelÆs de Ambom,1,6,"6,"
6300 -ÿAvelÆs da Ribeira,1,7,"7,"
6300 -ÿBenespera,1,8,"8,"
6300 -ÿCarvalhal MeÆo,1,9,"9,"
6300 -ÿCasal de Cinza,1,10,"10,"
6300 -ÿCastanheira,1,11,"11,"
6300 -ÿCavadoude,1,12,"12,"
6300 -ÿCodesseiro,1,13,"13,"
6300 -ÿCorujeira,1,14,"14,"
6300 -ÿFaia,1,15,"15,"
6300 -ÿFamalicÆo,1,16,"16,"
6300 -ÿFernÆo Joanes,1,17,"17,"
6300 -ÿGagos,1,18,"18,"
6300 -ÿGon‡alo,1,19,"19,"
6300 -ÿGon‡alo Bocas,1,20,"20,"
6300 -ÿJoÆo AntÆo,1,21,"21,"
6300 -ÿMa‡ainhas,1,22,"22,"
6300 -ÿMarmeleiro,1,23,"23,"
6300 -ÿMeios,1,24,"24,"
6300 -ÿMizarela,1,25,"25,"
6300 -ÿMonte Margarida,1,26,"26,"
6300 -ÿPanoias de Cima,1,27,"27,"
6300 -ÿPega,1,28,"28,"
6300 -ÿPˆra do Moco,1,29,"29,"
6300 -ÿPˆro Soares,1,30,"30,"
6300 -ÿPorto da Carne,1,31,"31,"
6300 -ÿPousada,1,32,"32,"
6300 -ÿRamela,1,33,"33,"
6300 -ÿRibeira dos Carinhos,1,34,"34,"
6300 -ÿRocamondo,1,35,"35,"
6300 -ÿRochoso,1,36,"36,"
6300 -ÿSantana da Azinha,1,37,"37,"
6300 -ÿSÆo Miguel Jarmelo,1,38,"38,"
6300 -ÿSÆo Pedro Jarmelo,1,39,"39,"
6300 -ÿSÆo Vicente,1,40,"40,"
6300 -ÿS‚,1,41,"41,"
6300 -ÿSeixo Amarelo,1,42,"42,"
6300 -ÿSobral da Serra,1,43,"43,"
6300 -ÿTrinta,1,44,"44,"
6300 -ÿVale de Estrela,1,45,"45,"
6300 -ÿValhelhas,1,46,"46,"
6300 -ÿVela,1,47,"47,"
6300 -ÿVidemonte,1,48,"48,"
6301 -ÿVila Cortˆs do Mondego,1,49,"49,"
6300 -ÿVila Fernando,1,50,"50,"
6300 -ÿVila Franca do DeÆo,1,51,"51,"
6300 -ÿVila Garcia,1,52,"52,"
6300 -ÿVila Soeiro,1,53,"53,"
6300 -ÿSÆo Miguel da Guarda,1,54,"54,"
Manteigasÿmunicipality[edit],0,55,"55,"
6260 -ÿSameiro,1,0,"0,"
6260 -ÿSanta Maria,1,1,"1,"
6260 -ÿSÆo Pedro,1,2,"2,"
6260 -ÿVale de Amoreira,1,3,"3,"
Medaÿmunicipality[edit],0,4,"4,"
6430 -ÿAveloso,1,0,"0,"
6430 -ÿBarreira,1,1,"1,"
6430 -ÿCarvalhal,1,2,"2,"
6430 -ÿCastei‡Æo,1,3,"3,"
6430 -ÿCoriscada,1,4,"4,"
6430 -ÿFonte Longa,1,5,"5,"
6430 -ÿLongroiva,1,6,"6,"
6430 -ÿMarialva,1,7,"7,"
6430 -ÿMeda,1,8,"8,"
6430 -ÿOuteiro de Gatos,1,9,"9,"
6430 -ÿPai Penela,1,10,"10,"
6430 -ÿPo‡o do Canto,1,11,"11,"
6430 -ÿProva,1,12,"12,"
6430 -ÿRaba‡al,1,13,"13,"
6430 -ÿRanhados,1,14,"14,"
6430 -ÿVale Flor,1,15,"15,"
Pinhelÿmunicipality[edit],0,16,"16,"
6400 -ÿAlverca da Beira,1,0,"0,"
6400 -ÿAtalaia,1,1,"1,"
6400 -ÿAzevo,1,2,"2,"
6400 -ÿBogalhal,1,3,"3,"
6400 -ÿBou‡a Cova,1,4,"4,"
6400 -ÿCerejo,1,5,"5,"
6400 -ÿCidadelhe,1,6,"6,"
6400 -ÿErvas Tenras,1,7,"7,"
6400 -ÿErvedosa,1,8,"8,"
6400 -ÿFreixedas,1,9,"9,"
6400 -ÿGouveia,1,10,"10,"
6400 -ÿLamegal,1,11,"11,"
6400 -ÿLameiras,1,12,"12,"
6400 -ÿManigoto,1,13,"13,"
6400 -ÿPala,1,14,"14,"
6400 -ÿPereiro,1,15,"15,"
6400 -ÿPinhel,1,16,"16,"
6400 -ÿP¡nzio,1,17,"17,"
6400 -ÿPomares,1,18,"18,"
6400 -ÿP¢voa de El-Rei,1,19,"19,"
6400 -ÿSafurdÆo,1,20,"20,"
6400 -ÿSanta Euf‚mia,1,21,"21,"
6400 -ÿSorval,1,22,"22,"
6400 -ÿSouro Pires,1,23,"23,"
6400 -ÿValbom,1,24,"24,"
6400 -ÿVale da Madeira,1,25,"25,"
6400 -ÿVascoveiro,1,26,"26,"
Sabugalÿmunicipality[edit],0,27,"27,"
6320 -ÿµguas Belas,1,0,"0,"
6320 -ÿAldeia do Bispo,1,1,"1,"
6320 -ÿAldeia da Ponte,1,2,"2,"
6320 -ÿAldeia da Ribeira,1,3,"3,"
6320 -ÿAldeia de Santo Ant¢nio,1,4,"4,"
6320 -ÿAldeia Velha,1,5,"5,"
6320 -ÿAlfaiates,1,6,"6,"
6320 -ÿBadamalos,1,7,"7,"
6320 -ÿBara‡al,1,8,"8,"
6250 -ÿBendada,1,9,"9,"
6320 -ÿBismula,1,10,"10,"
6320 -ÿCasteleiro,1,11,"11,"
6324 -ÿCerdeira,1,12,"12,"
6320 -ÿFoios,1,13,"13,"
6320 -ÿForcalhos,1,14,"14,"
6320 -ÿLajeosa,1,15,"15,"
6320 -ÿLomba,1,16,"16,"
6320 -ÿMalcata,1,17,"17,"
6320 -ÿMoita,1,18,"18,"
6320 -ÿNave,1,19,"19,"
6320 -ÿPena Lobo,1,20,"20,"
6320 -ÿPousafoles do Bispo,1,21,"21,"
6320 -ÿQuadrazais,1,22,"22,"
6320 -ÿQuintas de SÆo Bartolomeu,1,23,"23,"
6320 -ÿRapoula do Coa,1,24,"24,"
6320 -ÿRebolosa,1,25,"25,"
6320 -ÿRendo,1,26,"26,"
6320 -ÿRuiv¢s,1,27,"27,"
6320 -ÿRuvina,1,28,"28,"
6320 -ÿSabugal,1,29,"29,"
6320 -ÿSanto EstevÆo,1,30,"30,"
6320 -ÿSeixo do Coa,1,31,"31,"
6320 -ÿSortelha,1,32,"32,"
6320 -ÿSoito,1,33,"33,"
6320 -ÿVale das guas,1,34,"34,"
6320 -ÿVale de Espinho,1,35,"35,"
6320 -ÿVale Longo,1,36,"36,"
6320 -ÿVila Boa,1,37,"37,"
6320 -ÿVila do Touro,1,38,"38,"
6320 -ÿVilar Maior,1,39,"39,"
Seiaÿmunicipality[edit],0,40,"40,"
6270 -ÿAlvoco da Serra,1,0,"0,"
6270 -ÿCabe‡a,1,1,"1,"
6270 -ÿCarragozela,1,2,"2,"
6270 -ÿFolhadosa,1,3,"3,"
6270 -ÿGirabolhos,1,4,"4,"
6270 -ÿLajes,1,5,"5,"
6270 -ÿLoriga,1,6,"6,"
6270 -ÿParanhos,1,7,"7,"
6270 -ÿPinhan‡os,1,8,"8,"
6270 -ÿSabugueiro,1,9,"9,"
6270 -ÿSameice,1,10,"10,"
6270 -ÿSandomil,1,11,"11,"
6270 -ÿSanta Comba,1,12,"12,"
6270 -ÿSanta Eul lia,1,13,"13,"
6270 -ÿSanta Marinha,1,14,"14,"
6270 -ÿSantiago,1,15,"15,"
6270 -ÿSÆo Martinho,1,16,"16,"
6270 -ÿSÆo RomÆo,1,17,"17,"
6270 -ÿSazes da Beira,1,18,"18,"
6270 -ÿSeia,1,19,"19,"
6285 -ÿTeixeira,1,20,"20,"
6270 -ÿTorrozelo,1,21,"21,"
6270 -ÿTourais,1,22,"22,"
6270 -ÿTravancinha,1,23,"23,"
6270 -ÿValezim,1,24,"24,"
6270 -ÿV rzea de Meruge,1,25,"25,"
6285 -ÿVide,1,26,"26,"
6270 -ÿVila Cova … Coelheira,1,27,"27,"
6270 -ÿLapa dos Dinheiros,1,28,"28,"
Trancoso Municipality[edit],0,29,"29,"
6420 -ÿAldeia Nova,1,0,"0,"
6420 -ÿCarnicÆes,1,1,"1,"
6420 -ÿCastanheira,1,2,"2,"
6420 -ÿCogula,1,3,"3,"
6420 -ÿC¢timos,1,4,"4,"
6420 -ÿFeital,1,5,"5,"
6420 -ÿFiÆes,1,6,"6,"
6420 -ÿFreches,1,7,"7,"
6420 -ÿGranja,1,8,"8,"
3640 -ÿGuilheiro,1,9,"9,"
6420 -ÿMoimentinha,1,10,"10,"
6420 -ÿMoreira de Rei,1,11,"11,"
6420 -ÿPalhais,1,12,"12,"
6420 -ÿP¢voa do Concelho,1,13,"13,"
6420 -ÿReboleiro,1,14,"14,"
6420 -ÿRio de Mel,1,15,"15,"
6420 -ÿSanta Maria,1,16,"16,"
6420 -ÿSÆo Pedro,1,17,"17,"
6420 -ÿSebadelhe da Serra,1,18,"18,"
6420 -ÿSouto Maior,1,19,"19,"
6420 -ÿTamanhos,1,20,"20,"
6420 -ÿTerrenho,1,21,"21,"
6420 -ÿTorre do Terrenho,1,22,"22,"
6420 -ÿTorres,1,23,"23,"
6420 -ÿValdujo,1,24,"24,"
6420 -ÿVale do Seixo,1,25,"25,"
6420 -ÿVila Franca das Naves,1,26,"26,"
6420 -ÿVila Garcia,1,27,"27,"
6420 -ÿVilares,1,28,"28,"
Vila Nova de Foz C“aÿmunicipality[edit],0,29,"29,"
5150 -ÿAlmendra,1,0,"0,"
5150 -ÿCastelo Melhor,1,1,"1,"
5155 -ÿCedovim,1,2,"2,"
5150 -ÿChÆs,1,3,"3,"
5155 -ÿCust¢ias,1,4,"4,"
5155 -ÿFreixo de NumÆo,1,5,"5,"
5155 -ÿHorta,1,6,"6,"
5155 -ÿM¢s,1,7,"7,"
5155 -ÿMur‡a,1,8,"8,"
5150 -ÿMuxagata,1,9,"9,"
5155 -ÿNumÆo,1,10,"10,"
5150 -ÿSanta Comba,1,11,"11,"
5155 -ÿSanto Amaro,1,12,"12,"
5155 -ÿSebadelhe,1,13,"13,"
5155 -ÿSeixas,1,14,"14,"
5155 -ÿTouca,1,15,"15,"
5150 -ÿVila Nova de Foz C“a,1,16,"16,"
,0,17,"17,"
Leiria District[edit],0,0,"0,"
Alcoba‡aÿmunicipality[edit],0,0,"0,"
2460 -ÿAlcoba‡aÿandÿVestiaria (Alcoba‡a),1,0,"0,"
2460 -ÿAlfeizerÆo,1,1,"1,"
2460 -ÿB rrio,1,2,"2,"
2475 -ÿBenedita,1,3,"3,"
2460 -ÿCela,1,4,"4,"
"2460 -ÿCoz,ÿAlpedrizÿandÿMontes (Alcoba‡a)",1,5,"5,"
2460 -ÿvora de Alcoba‡a,1,6,"6,"
2460 -ÿMaiorga,1,7,"7,"
2445 -ÿPataiasÿandÿMartingan‡a,1,8,"8,"
2460 -ÿAljubarrota,1,9,"9,"
2460 -ÿSÆo Martinho do Porto,1,10,"10,"
2460 -ÿTurquel,1,11,"11,"
2460 -ÿVimeiro (Alcoba‡a),1,12,"12,"
Alvai zereÿmunicipality[edit],0,13,"13,"
3250 -ÿAlmoster,1,0,"0,"
3250 -ÿAlvai zere,1,1,"1,"
3250 -ÿMa‡Æs de Caminho,1,2,"2,"
3250 -ÿMa‡Æs de Dona Maria,1,3,"3,"
3250 -ÿPelm ,1,4,"4,"
3250 -ÿPussos,1,5,"5,"
3250 -ÿRego da Murta,1,6,"6,"
AnsiÆoÿmunicipality[edit],0,7,"7,"
3240 -ÿAlvorge,1,0,"0,"
3240 -ÿAnsiÆo,1,1,"1,"
3240 -ÿAvelar,1,2,"2,"
3240 -ÿChÆo de Couce,1,3,"3,"
3240 -ÿLagarteira,1,4,"4,"
3240 -ÿPousaflores,1,5,"5,"
3240 -ÿSantiago da Guarda,1,6,"6,"
3240 -ÿTorre de Vale de Todos,1,7,"7,"
Batalhaÿmunicipality[edit],0,8,"8,"
2440 -ÿBatalha,1,0,"0,"
2440 -ÿReguengo do Fetal,1,1,"1,"
2495 -ÿSÆo Mamede,1,2,"2,"
2440 -ÿGolpilheira,1,3,"3,"
Bombarralÿmunicipality[edit],0,4,"4,"
2540 -ÿBombarral,1,0,"0,"
2540 -ÿCarvalhal,1,1,"1,"
2540 -ÿRoli‡a,1,2,"2,"
2540 -ÿVale Covo,1,3,"3,"
2540 -ÿP¢,1,4,"4,"
Caldas da Rainhaÿmunicipality[edit],0,5,"5,"
2500 -ÿA-dos-Francos,1,0,"0,"
2500 -ÿAlvorninha,1,1,"1,"
2500 -ÿCarvalhal Benfeito,1,2,"2,"
"2500 -ÿNossa Senhora do P¢puloÿ(Caldas da Rainha),ÿCotoÿandÿSÆo Greg¢rio",1,3,"3,"
2500 -ÿFoz do Arelho,1,4,"4,"
2500 -ÿLandal,1,5,"5,"
2500 -ÿNadadouro,1,6,"6,"
2500 -ÿSalir de Matos,1,7,"7,"
2500 -ÿSanta Catarina,1,8,"8,"
2500 -ÿTornada and Salir do Porto,1,9,"9,"
2500 -ÿVidais,1,10,"10,"
2500 -ÿSanto Onofreÿ(Caldas da Rainha) andÿSerra do Bouro,1,11,"11,"
Castanheira de Pˆraÿmunicipality[edit],0,12,"12,"
3280 -ÿCastanheira de Pˆra,1,0,"0,"
3280 -ÿCoentral,1,1,"1,"
Figueir¢ dos Vinhosÿmunicipality[edit],0,2,"2,"
3260 -ÿAguda,1,0,"0,"
3260 -ÿArega,1,1,"1,"
3260 -ÿCampelo,1,2,"2,"
3260 -ÿFigueir¢ dos Vinhos,1,3,"3,"
3260 -ÿBairradas,1,4,"4,"
Leiriaÿmunicipality[edit],0,5,"5,"
2404 -ÿAmor,1,0,"0,"
2420 -ÿArrabal,1,1,"1,"
2404 -ÿAzoiaÿ[pt],1,2,"2,"
2400 -ÿBarosa,1,3,"3,"
2410 -ÿBarreira,1,4,"4,"
2420 -ÿBoa Vista,1,5,"5,"
2420 -ÿCaranguejeira,1,6,"6,"
2425 -ÿCarvide,1,7,"7,"
2425 -ÿCoimbrÆo,1,8,"8,"
2420 -ÿColmeias,1,9,"9,"
2410 -ÿCortes,1,10,"10,"
2410 -ÿLeiria,1,11,"11,"
2405 -ÿMaceira,1,12,"12,"
2415 -ÿMarrazes,1,13,"13,"
2415 -ÿMilagres,1,14,"14,"
2425 -ÿMonte Real,1,15,"15,"
2425 -ÿMonte Redondo,1,16,"16,"
2425 -ÿOrtigosa,1,17,"17,"
2400 -ÿParceiros,1,18,"18,"
2410 -ÿPousos,1,19,"19,"
2415 -ÿRegueira de Pontes,1,20,"20,"
2495 -ÿSanta Catarina da Serra,1,21,"21,"
2420 -ÿSanta Euf‚mia,1,22,"22,"
2425 -ÿSouto da Carpalhosa,1,23,"23,"
2425 -ÿBajouca,1,24,"24,"
2415 -ÿBidoeira de Cima,1,25,"25,"
2420 -ÿMem¢ria,1,26,"26,"
2425 -ÿCarreira,1,27,"27,"
2495 -ÿChain‡a,1,28,"28,"
Marinha Grandeÿmunicipality[edit],0,29,"29,"
2430 -ÿMarinha Grande,1,0,"0,"
2430 -ÿVieira de Leiria,1,1,"1,"
2445 -ÿMoita,1,2,"2,"
Nazar‚ÿmunicipality[edit],0,3,"3,"
2450 -ÿFamalicÆo,1,0,"0,"
2450 -ÿNazar‚,1,1,"1,"
2450 -ÿValado dos Frades,1,2,"2,"
àbidosÿmunicipality[edit],0,3,"3,"
2510 -ÿA dos Negros,1,0,"0,"
2510 -ÿAmoreira,1,1,"1,"
2510 -ÿOlho Marinho,1,2,"2,"
2510 -ÿSanta Maria (àbidos),1,3,"3,"
2510 -ÿSÆo Pedro (àbidos),1,4,"4,"
2510 -ÿSobral da Lagoa,1,5,"5,"
2510 -ÿVau,1,6,"6,"
2510 -ÿGaeiras,1,7,"7,"
2510 -ÿUsseira,1,8,"8,"
Pedr¢gÆo Grandeÿmunicipality[edit],0,9,"9,"
3270 -ÿGra‡a,1,0,"0,"
3270 -ÿPedr¢gÆo Grande,1,1,"1,"
3270 -ÿVila Facaia,1,2,"2,"
Penicheÿmunicipality[edit],0,3,"3,"
2520 -ÿAjuda,1,0,"0,"
2525 -ÿAtouguia da Baleia,1,1,"1,"
2520 -ÿConcei‡Æo,1,2,"2,"
2520 -ÿSÆo Pedro,1,3,"3,"
2525 -ÿSerra D'El Rei,1,4,"4,"
2520 -ÿFerrel,1,5,"5,"
Pombal Municipality[edit],0,6,"6,"
3100 -ÿAbiul,1,0,"0,"
3100 -ÿAlbergaria dos Doze,1,1,"1,"
3105 -ÿAlmagreira,1,2,"2,"
3105 -ÿCarnide,1,3,"3,"
3105 -ÿCarri‡o,1,4,"4,"
3105 -ÿLouri‡al,1,5,"5,"
3105 -ÿMata Mourisca,1,6,"6,"
3105 -ÿPelariga,1,7,"7,"
3100 -ÿPombal,1,8,"8,"
3105 -ÿRedinha,1,9,"9,"
3100 -ÿSantiago de Lit‚m,1,10,"10,"
3100 -ÿSÆo SimÆo de Lit‚m,1,11,"11,"
3105 -ÿVermoil,1,12,"12,"
3100 -ÿVila CÆ,1,13,"13,"
3105 -ÿMeirinhas,1,14,"14,"
3105 -ÿGuia,1,15,"15,"
3105 -ÿIlha,1,16,"16,"
Porto de M¢sÿmunicipality[edit],0,17,"17,"
2480 -ÿAlcaria,1,0,"0,"
2480 -ÿAlqueidÆo da Serra,1,1,"1,"
2480 -ÿAlvados,1,2,"2,"
2480 -ÿArrimal,1,3,"3,"
2480 -ÿCalvaria de Cima,1,4,"4,"
2480 -ÿJuncal,1,5,"5,"
2480 -ÿMendiga,1,6,"6,"
2485 -ÿMira de Aire,1,7,"7,"
2480 -ÿPedreiras,1,8,"8,"
2480 -ÿSÆo Bento,1,9,"9,"
2480 -ÿSÆo JoÆo Batista,1,10,"10,"
2480 -ÿSÆo Pedro,1,11,"11,"
2480 -ÿSerro Ventoso,1,12,"12,"
,0,13,"13,"
Lisboa District[edit],0,0,"0,"
Alenquerÿmunicipality[edit],0,0,"0,"
2580 -ÿAbrigada,1,0,"0,"
2580 -ÿAldeia Galega da Merceana,1,1,"1,"
2580 -ÿAldeia Gavinha,1,2,"2,"
2580 -ÿCabanas de Torres,1,3,"3,"
2580 -ÿCadafais,1,4,"4,"
2580 -ÿCarnota,1,5,"5,"
2580 -ÿMeca,1,6,"6,"
2580 -ÿOlhalvo,1,7,"7,"
2580 -ÿOta,1,8,"8,"
2580 -ÿPereiro de Palhacana,1,9,"9,"
2580 -ÿSanto EstevÆo,1,10,"10,"
2580 -ÿTriana,1,11,"11,"
2580 -ÿVentosa,1,12,"12,"
2580 -ÿVila Verde dos Francos,1,13,"13,"
2580 -ÿCarregado,1,14,"14,"
2580 -ÿRibafria,1,15,"15,"
Arruda dos Vinhosÿmunicipality[edit],0,16,"16,"
2630 -ÿArranh¢,1,0,"0,"
2630 -ÿArruda dos Vinhos,1,1,"1,"
2630 -ÿCardosas,1,2,"2,"
2630 -ÿSantiago dos Velhos,1,3,"3,"
Azambujaÿmunicipality[edit],0,4,"4,"
2065 -ÿAlcoentre,1,0,"0,"
2050 -ÿAveiras de Baixo,1,1,"1,"
2050 -ÿAveiras de Cima,1,2,"2,"
2050 -ÿAzambuja,1,3,"3,"
2065 -ÿManique do Intendente,1,4,"4,"
2050 -ÿVale do Para¡so,1,5,"5,"
2050 -ÿVila Nova da Rainha,1,6,"6,"
2065 -ÿVila Nova de SÆo Pedro,1,7,"7,"
2065 -ÿMa‡ussa,1,8,"8,"
Cadavalÿmunicipality[edit],0,9,"9,"
2550 -ÿAlguber,1,0,"0,"
2550 -ÿCadaval,1,1,"1,"
2550 -ÿCercal,1,2,"2,"
2550 -ÿFigueiros,1,3,"3,"
2550 -ÿLamas,1,4,"4,"
2550 -ÿPainho,1,5,"5,"
2550 -ÿPeral,1,6,"6,"
2550 -ÿPˆro Moniz,1,7,"7,"
2550 -ÿVermelha,1,8,"8,"
2550 -ÿVilar,1,9,"9,"
Cascaisÿmunicipality[edit],0,10,"10,"
2755 -ÿAlcabideche,1,0,"0,"
2775 -ÿCarcavelos,1,1,"1,"
2750 -ÿCascais,1,2,"2,"
2765 -ÿEstoril,1,3,"3,"
2775 -ÿParede,1,4,"4,"
2785 -ÿSÆo Domingos de Rana,1,5,"5,"
Lisboaÿmunicipality[edit],0,6,"6,"
1300 -ÿAjudaÿandÿAlcƒntara,1,0,"0,"
"1900 -ÿAlto do Pina,ÿBeatoÿandÿSÆo JoÆo",1,1,"1,"
"1700 -ÿAlvalade,ÿCampo GrandeÿandÿSÆo JoÆo de Brito",1,2,"2,"
"1750 -ÿAmeixoeira,ÿCharnecaÿandÿLumiar",1,3,"3,"
"1150 -ÿAnjos,ÿPenaÿandÿSanta Justa",1,4,"4,"
1500 -ÿBenficaÿandÿSÆo Domingos de Benfica,1,5,"5,"
1070 -ÿCampolideÿandÿSÆo SebastiÆo da Pedreira,1,6,"6,"
1600 -ÿCarnide,1,7,"7,"
"1100 -ÿCastelo,ÿMadalena,ÿSantiago, Santo EstevÆo,ÿSÆo Crist¢vÆo,ÿSÆo Miguel,ÿSÆo Vicente de ForaÿandÿSocorro",1,8,"8,"
